Coal,gas,Total_source,Total_source_corrected_population,Av Temp,Max Temp,Min Temp
8595.402,188111.90600000002,196723.37600000002,0.007079623,79.2,91.6,66.9
6943.134,165453.089,172415.975,0.006196480999999999,69.2,81.6,56.8
5853.96,146044.649,151906.529,0.00545203,57.3,68.3,46.3
5669.28,161535.702,167222.805,0.005993663000000001,51.5,64.1,38.8
6415.659000000001,159813.173,166240.15300000002,0.005950431999999999,46.4,58.8,34.0
4806.559,139696.705,144516.59,0.0051669179999999995,54.4,69.0,39.7
3394.725,158806.572,162216.59900000002,0.005793099,61.2,74.3,48.2
4599.417,153494.495,158113.434,0.0056401,66.1,78.6,53.5
6435.346,169867.551,176331.086,0.006282752,71.6,82.8,60.4
9042.583,190157.045,199211.28,0.007089873000000001,80.1,91.2,68.9
9583.902,212148.52300000002,221742.22199999998,0.007882736999999999,85.4,97.4,73.4
9252.584,215519.69199999998,224787.02899999998,0.007981868,81.5,92.2,70.9
8901.677,182725.24399999998,191639.88,0.006797111999999999,77.6,88.4,66.7
8376.552,147810.532,156198.021,0.005533754,70.9,84.0,57.7
6592.635,131583.915,138191.049,0.004890245,61.0,72.5,49.6
8728.853000000001,126416.04699999999,135163.91,0.004777694,49.6,60.2,38.9
8105.948,123126.984,131242.99599999998,0.004633842,50.8,63.0,38.6
5971.604,109181.755,115165.615,0.004061662,58.4,72.0,44.8
5809.999,128899.411,134723.698,0.0047461479999999995,63.6,76.4,50.7
6624.876,129717.58300000001,136354.481,0.004798258,67.1,80.1,54.2
7769.653,145610.37900000002,153399.34900000002,0.005392065,72.0,85.0,59.0
8744.196,185166.18300000002,193920.099,0.006808828,80.6,92.3,68.8
9539.478000000001,226095.75600000002,235649.047,0.008264826,83.6,95.5,71.6
9278.334,207543.187,216839.026,0.0075966919999999995,80.6,91.2,70.1
8495.168,156749.059,165254.848,0.005783101999999999,76.5,88.4,64.6
7445.18,141429.63,148887.408,0.005204568,66.5,80.0,53.1
