Total consumption natural gas Texas all sectors monthly
https://www.eia.gov/opendata/qb.php?category=432&sdid=ELEC.CONS_TOT.NG-TX-99.M
09:03:41 GMT-0600 (Central Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: ELEC.CONS_TOT.NG-TX-99.M thousand Mcf
Apr 2005,142141.39643
Mar 2005,131235.85247
Feb 2005,118387.3523
Jan 2005,132247.08096
Dec 2004,136426.97304
Nov 2004,128199.23563
Oct 2004,162937.04829
Sep 2004,172763.61392
Aug 2004,199888.67025
Jul 2004,203968.13653
Jun 2004,177729.59164
May 2004,158443.37596
Apr 2004,141447.31471
Mar 2004,137923.57214
Feb 2004,130491.83247
Jan 2004,130404.58213
Dec 2003,127040.3
Nov 2003,126194.394
Oct 2003,140567.354
Sep 2003,157033.166
Aug 2003,223489.4
Jul 2003,210218.498
Jun 2003,179699.177
May 2003,178066.623
Apr 2003,135505.813
Mar 2003,138921.068
Feb 2003,134239.506
Jan 2003,146297.149
Dec 2002,136893.259
Nov 2002,142892.553
Oct 2002,161033.533
Sep 2002,188347.159
Aug 2002,233057.25
Jul 2002,225315.393
Jun 2002,197363.891
May 2002,166769.648
Apr 2002,154883.652
Mar 2002,145888.783
Feb 2002,129186.358
Jan 2002,147754.305
Dec 2001,138915.012
Nov 2001,137883.978
Oct 2001,163557.882
Sep 2001,181522.56
Aug 2001,237944.547
Jul 2001,236109.652
Jun 2001,192696.004
May 2001,174142.911
Apr 2001,155112.54
Mar 2001,144803.647
Feb 2001,126392.659
Jan 2001,147019.775
