year,month,Coal,gas,petroleum,Av Temp,Max Temp,Min Temp
2010,Apr,6615.111,127652.304,29.821,65,77.4,52.7
2010,May,8733.122,152036.216,16.735,73.8,86,61.5
2010,Jun,9684.576,177088.366,14.079,82.7,94.2,71.1
2010,Jul,9941.101,186688.095,10.553,81.4,90.9,71.8
2010,Aug,10187.43,220037.948,13.056,84.4,97,71.7
2010,Sep,9117.389,160425.402,10.449,77.7,89.2,66.2
2010,Oct,8192.381,124740.346,8.069,67.2,82,52.3
2010,Nov,7989.407,113608.749,20.74,56.6,70.9,42.3
2010,Dec,9099.127,119382.902,12.408,49.2,63,35.4
2011,Jan,9632.246,134022.742,9.452,45,58.2,31.7
2011,Feb,7607.297,124031.019,141.807,48.7,62.9,34.5
2011,Mar,8127.978,111647.368,18.87,61.8,76.2,47.5
2011,Apr,8717.527,139317.669,11.553,70.3,85.7,54.9
2011,May,9383.005,149383.324,8.991,74.1,87.8,60.3
2011,Jun,10270.825,188810.643,12.696,85.2,99,71.4
2011,Jul,10927.398,228326.067,10.471,87,99.7,74.2
2011,Aug,10977.676,245738.137,8.385,88.2,101.6,74.7
2011,Sep,10080.708,172803.871,12.548,77.9,92.6,63.1
2011,Oct,8656.018,133994.911,22.053,66.9,81.1,52.8
2011,Nov,7542.255,124548.309,9.166,56.9,70.3,43.5
2011,Dec,8503.548,145913.199,23.486,46.1,55.7,36.5
2012,Jan,7699.91,145436.653,15.191,50.4,64.4,36.5
2012,Feb,7197.748,133211.788,11.631,51.8,62.9,40.6
2012,Mar,6413.869,148366.394,12.841,63.2,75.6,50.8
2012,Apr,5574.984,167470.254,27.05,70.2,83.9,56.6
2012,May,7613.131,178252.115,67.608,75.5,87.7,63.3
2012,Jun,9114.047,197355.846,53.8,82.4,95.1,69.6
2012,Jul,9989.709,213003.676,15.627,83.4,95.1,71.6
2012,Aug,9885.19,219262.509,17.185,83.7,96.4,71
2012,Sep,9074.307,170072.849,16.887,76.6,89.2,64.1
2012,Oct,8812.839,135786.759,15.239,65.9,78.5,53.2
2012,Nov,8070.709,125259.432,12.85,59,73.4,44.6
2012,Dec,8148.621,133368.344,14.519,51.1,64.6,37.4
2013,Jan,8215.982,144621.08,25.404,47.9,59.4,36.4
2013,Feb,7124.615,116614.038,13.655,51.7,64.9,38.4
2013,Mar,7124.66,127494.639,12.579,57.2,71.8,42.6
2013,Apr,6829.676,134004.35,19.384,63,77.1,48.9
2013,May,8252.186,145338.938,19.805,72.5,85.2,59.8
2013,Jun,9820.064,176589.893,13.085,81.8,94,69.7
2013,Jul,10500.641,194015.427,8.804,81.3,92.7,69.9
2013,Aug,10411.472,215339.655,9.567,83.3,95.8,70.8
2013,Sep,9454.686,182178.589,11.977,78.2,90.2,66.2
2013,Oct,8032.464,146369.988,15.363,66.7,79.1,54.2
2013,Nov,7300.308,142325.595,15.281,52.9,64.3,41.5
2013,Dec,9419.941,154176.641,39.028,44.8,56.7,32.9
2014,Jan,8896.171,145138.548,13.483,44.5,59,30
2014,Feb,8344.819,127621.55,40.691,48.4,61.1,35.7
2014,Mar,7673.343,131353.754,27.551,54.8,68.9,40.7
2014,Apr,6686.598,134850.26,9.33,65.4,79.1,51.7
2014,May,8832.721,147653.282,16.594,72,85.1,59
2014,Jun,8890.871,168598.344,22.852,80.6,91.4,69.8
2014,Jul,10533.822,192000.301,10.566,81.7,93.1,70.3
2014,Aug,10133.652,212546.465,11.675,82.6,94.7,70.6
2014,Sep,9392.892,172001.345,22.946,76.4,86.6,66.2
2014,Oct,7651.061,153476.249,13.819,69.6,82.8,56.4
2014,Nov,7197.74,137388.946,15.538,51.5,63.6,39.4
2014,Dec,7423.813,145960.732,16.865,50.7,60.5,40.9
2015,Jan,7958.954,167285.253,15.925,44,54.6,33.3
2015,Feb,6482.678,148661.467,19.462,48.2,60.4,36.1
2015,Mar,5198.327,164553.15,22.701,56.2,67.4,45
2015,Apr,5098.093,153342.924,17.276,66.6,78.1,55
2015,May,6763.636,159758.566,36.392,71.6,81.9,61.3
2015,Jun,9018.336,183039.181,21.807,79.3,89.9,68.6
2015,Jul,9752.878,220927.104,18.245,83.2,94.5,71.9
2015,Aug,9444.519,226342.869,15.309,83.3,96.1,70.5
2015,Sep,8595.402,188111.906,16.068,79.2,91.6,66.9
2015,Oct,6943.134,165453.089,19.752,69.2,81.6,56.8
2015,Nov,5853.96,146044.649,7.92,57.3,68.3,46.3
2015,Dec,5669.28,161535.702,17.823,51.5,64.1,38.8
2016,Jan,6415.659,159813.173,11.321,46.4,58.8,34
2016,Feb,4806.559,139696.705,13.326,54.4,69,39.7
2016,Mar,3394.725,158806.572,15.302,61.2,74.3,48.2
